t,map2base_x,map2base_y,map2base_yaw,map2odom_x,map2odom_y,map2odom_yaw,odom2base_x,odom2base_y,odom2base_yaw
6.9914,0.059265,0.017807,-0.064329,0.168365,0.055916,-0.113487,-0.104442,-0.043358,0.049056
7.0248,0.059171,0.018496,-0.064236,0.169396,0.056820,-0.113380,-0.104401,-0.043372,0.049023
7.0582,0.059171,0.018496,-0.064236,0.169386,0.056808,-0.113373,-0.104401,-0.043372,0.049023
7.0914,0.059171,0.018496,-0.064236,0.169375,0.056796,-0.113365,-0.104401,-0.043372,0.049023
7.1247,0.058209,0.017610,-0.064356,0.171030,0.056308,-0.113691,-0.104380,-0.043320,0.048992
7.1581,0.058209,0.017610,-0.064356,0.171038,0.056319,-0.113698,-0.104380,-0.043320,0.048992
7.1916,0.059175,0.018476,-0.064265,0.170879,0.056417,-0.113741,-0.104432,-0.043329,0.048970
7.2248,0.059175,0.018476,-0.064265,0.170883,0.056420,-0.113759,-0.104432,-0.043329,0.048970
7.2581,0.060840,0.017939,-0.064506,0.170885,0.056423,-0.113772,-0.104380,-0.043392,0.049047
7.2915,0.060673,0.018135,-0.064628,0.170144,0.055355,-0.113658,-0.104405,-0.043313,0.048980
7.3248,0.060673,0.018135,-0.064628,0.170049,0.055567,-0.113813,-0.104405,-0.043313,0.048980
7.3581,0.060673,0.018135,-0.064628,0.170046,0.055569,-0.113815,-0.104405,-0.043313,0.048980
7.3915,0.060375,0.017480,-0.064671,0.170726,0.056139,-0.113797,-0.104275,-0.043328,0.048896
7.4248,0.060375,0.017480,-0.064671,0.170758,0.056134,-0.113811,-0.104275,-0.043328,0.048896
7.4581,0.059948,0.016850,-0.064502,0.171290,0.056253,-0.113557,-0.104263,-0.043751,0.049173
7.4914,0.059948,0.016850,-0.064502,0.171301,0.056199,-0.113538,-0.104263,-0.043751,0.049173
7.5247,0.060635,0.017377,-0.064514,0.170268,0.056058,-0.113398,-0.104257,-0.043784,0.049149
7.5580,0.060635,0.017377,-0.064514,0.170281,0.055988,-0.113372,-0.104257,-0.043784,0.049149
7.5915,0.061107,0.017851,-0.064419,0.170547,0.057585,-0.113549,-0.104396,-0.043409,0.048998
7.6247,0.061107,0.017851,-0.064419,0.170520,0.057574,-0.113529,-0.104396,-0.043409,0.048998
7.6581,0.060236,0.017799,-0.064259,0.170500,0.057566,-0.113514,-0.104257,-0.043245,0.048996
7.6914,0.060236,0.017799,-0.064259,0.170736,0.058168,-0.113980,-0.104257,-0.043245,0.048996
7.7247,0.060419,0.019279,-0.064390,0.169382,0.057476,-0.113926,-0.104315,-0.043315,0.049001
7.7581,0.060419,0.019279,-0.064390,0.169382,0.057534,-0.113945,-0.104315,-0.043315,0.049001
7.7915,0.060369,0.019641,-0.064657,0.169382,0.057593,-0.113964,-0.104475,-0.043320,0.048983
7.8247,0.060369,0.019641,-0.064657,0.168913,0.057003,-0.113974,-0.104475,-0.043320,0.048983
7.8581,0.059140,0.019213,-0.064821,0.169116,0.056127,-0.113713,-0.104429,-0.043332,0.048966
7.8914,0.059140,0.019213,-0.064821,0.169089,0.056117,-0.113717,-0.104429,-0.043332,0.048966
7.9248,0.058851,0.018956,-0.064862,0.169553,0.056465,-0.113723,-0.104343,-0.043149,0.048968
7.9581,0.058851,0.018956,-0.064862,0.169587,0.056498,-0.113726,-0.104343,-0.043149,0.048968
7.9914,0.058851,0.018956,-0.064862,0.169621,0.056532,-0.113728,-0.104343,-0.043149,0.048968
8.0247,0.058867,0.017743,-0.064495,0.170095,0.056342,-0.113455,-0.104446,-0.043429,0.049079
8.0581,0.059433,0.018133,-0.064548,0.170849,0.057193,-0.113502,-0.104365,-0.043412,0.049040
8.0914,0.059433,0.018133,-0.064548,0.170839,0.057148,-0.113490,-0.104365,-0.043412,0.049040
8.1248,0.059459,0.018217,-0.064627,0.170931,0.056437,-0.113575,-0.104381,-0.043366,0.048962
8.1581,0.059459,0.018217,-0.064627,0.170922,0.056405,-0.113576,-0.104381,-0.043366,0.048962
8.1914,0.060629,0.018821,-0.064378,0.170912,0.056373,-0.113577,-0.104419,-0.043363,0.048979
8.2247,0.060629,0.018821,-0.064378,0.171495,0.057549,-0.113653,-0.104419,-0.043363,0.048979
8.2581,0.060629,0.018821,-0.064378,0.171500,0.057555,-0.113667,-0.104419,-0.043363,0.048979
8.2914,0.060680,0.018021,-0.064463,0.169679,0.057429,-0.113631,-0.104446,-0.043429,0.048970
8.3248,0.061315,0.019066,-0.064447,0.169659,0.057423,-0.113647,-0.104363,-0.043513,0.049066
8.3581,0.061315,0.019066,-0.064447,0.170520,0.056816,-0.113514,-0.104363,-0.043513,0.049066
8.3914,0.059520,0.018841,-0.064397,0.170519,0.056798,-0.113500,-0.104300,-0.043619,0.049096
8.4247,0.059520,0.018841,-0.064397,0.170701,0.056641,-0.113473,-0.104300,-0.043619,0.049096
